countyCode,city
SE,Mwanza
AL,Livingstone
NU,Sofia
HT,Hilo
BI,Fort-de-France
HK,Karachi
ER,Guwahati
FI,Toronto
EG,Iqaluit
FM,Koulikoro
IR,Perm
MW,Padang
RW,Samara
PS,Leeds
AX,Alor Star
ZW,Port Moresby
SI,Baltimore
VG,Xining
JM,Seattle
OM,Hyderabad
PS,Sydney
NC,Cape Town
HN,Kandahar
FO,Nagoya
KP,Malé
CH,Medan
GY,Chiang Mai
VI,Aberdeen
MC,Los Angeles
AF,Siem Reap
CD,Lahore
ST,Incheon
IN,Port-au-Prince
KM,Chuí
BT,Adana
GD,Sacramento
BT,Islamabad
NZ,Dresden
NP,Maracaibo
VN,Tijuana
BA,Longyearbyen
MW,Salzburg
SK,Hagåtña
SN,Vatican City
RE,Jeddah
GM,Los Angeles
QA,Ljubljana
CR,Regina
CZ,Port Hedland
PF,Tirana
MP,Lyon
JP,Panama City
MG,Tucson
KG,Niamey
RU,Malmö
SB,Handan
SE,Oslo
IN,Los Angeles
CH,Singapore
GN,Valdivia
IR,Port-au-Prince
NO,Birkirkara
VN,Conakry
DM,Lhasa
SZ,Las Palmas de Gran Canaria
IE,Durango
UY,Hanga Roa
KE,Suez
KW,Malacca Town
BO,Albuquerque
PW,Forked River
AW,Fredericton
MY,Surat Thani
AR,Andorra la Vella
VN,Austin
NG,Havana
TL,Panama City
MQ,Beirut
DK,Las Vegas
LS,Patna
AZ,Strasbourg
UM,Macau
ES,Ho Chi Minh City
GA,Hiroshima
AQ,Houston
IO,Córdoba
CX,Suez
PY,Guadalajara
AO,St. John's
GE,Bangkok
GB,Port Hedland
ES,Bern
CS,Harbin
NP,Hilo
HK,Campinas
CU,Kathmandu
PE,Cairo
TN,Magadan
WF,Palembang
KP,Düsseldorf
ZM,Mwanza
KP,Nanjing
NA,Baku
ET,Balikpapan
BR,Kota Bharu
KI,Valparaíso
KR,Antananarivo
DZ,Melekeok
BW,Copenhagen
GB,Atlanta
VA,Hanga Roa
AU,Pekanbaru
PW,Belfast
ES,Port Blair
CZ,Prague
KY,Niamey
LU,Wonsan
PF,Istanbul
OM,Changchun
VU,Miami
BE,Rochester
LA,Mashhad
UY,Malabo
VG,Zamboanga City
TD,Durango
BS,Hat Yai
HM,Bangkok
GG,Sitka
AI,Mexicali
MU,Hamilton
CF,Alexandria
AR,Dili
UG,Brisbane
AW,Macapá
IR,Almaty
TW,Kyoto
GQ,Hobart
FM,Minneapolis
GU,Denver
PY,Rio de Janeiro
BI,Philadelphia
EC,Simferopol
TW,Jerusalem
SO,Taichung
AL,Lyon
CO,Petropavlovsk-Kamchatsky
CD,Sacramento
DZ,Ashgabat
NR,Ipoh
MU,Thimphu
AG,New Orleans
AX,Medan
BB,Bucharest
LT,Malmö
IE,Freetown
BN,Lyon
KP,Strasbourg
GS,Taiyuan
MG,Cairo
AE,San Antonio
IT,São José dos Campos
AN,Sarajevo
SI,Dubai
LA,Gaziantep
AO,Oklahoma City
LS,Pune
SN,Enugu
VI,Pyongyang
GA,Tampa
PM,Udon Thani
PK,Santiago
IL,Suva
CD,Naples
JE,Bilbao
GB,Ouagadougou
PR,Paramaribo
TN,Handan
BN,Yakutsk
KI,Stockholm
ER,Munich
AQ,Cleveland
KH,Lima
BI,Baghdad
CA,Munich
FR,Assis
NR,Havana
KY,Tskhinvali
AM,Murmansk
CY,Pittsburgh
LI,Bilbao
YE,Durban
CG,Murmansk
TW,San Juan
KP,Tampa
CL,Murmansk
TG,Anchorage
ZM,Milan
DZ,Sucre
PH,Hargeisa
TZ,San Juan
EC,Kandy
DM,Nanjing
CR,Oranjestad
PM,Chişinău
MW,Hong Kong
BI,Juneau
CX,Astana
DZ,Strasbourg
CC,Magadan
FR,Quezon City
GI,Banjul
EE,Louisville
ES,Cologne
JO,Jakarta
YE,Wellington
MY,Naples
LU,Kandahar
BI,Thimphu
BI,Mendoza
BN,Rio Branco
LK,Phnom Penh
CU,Podgorica
GG,Ouagadougou
NF,Salt Lake City
TD,Mendoza
NL,Saipan
CC,Chongqing
CA,Zürich
WS,Caracas
TK,Luxor
BN,Balikpapan
VU,Juneau
HM,Rockhampton
MP,Manchester
GW,Denpasar
ID,Tegucigalpa
UG,Mérida
MR,Dallas
BW,Padang
BO,Bratislava
TJ,Luxembourg (city)
BS,Luanda
CM,Hamilton
CO,Washington
LI,Moscow
CZ,Semarang
NO,San José
MP,Mérida
HT,Johor Bahru
SY,Lahore
NG,Tartu
BB,Malmö
AF,Maracaibo
LV,Canberra
AG,Wichita
MT,Andorra la Vella
FK,Cairo
GE,Taipei
YE,Porto Alegre
PY,Aarhus
TH,Gold Coast
GG,Kharkiv
MC,Guangzhou
CH,Hobart
AO,Oranjestad
JP,Pretoria
MA,Dodoma
TT,Campinas
UZ,Mwanza
GL,Mexico City
PS,Bissau
PN,Chihuahua
GI,Batticaloa
PA,Harare
IO,Jeddah
AU,Vaduz
JM,Panama City
CH,Los Angeles
TV,Monaco
MA,Chicago
RW,Munich
PY,Nantes
MN,Vilnius
TW,Valparaíso
IR,Malmö
CU,Vatican City
LC,Minneapolis
MX,Johannesburg
UA,Austin
RE,Cairo
LV,Kuala Lumpur
AS,Saint-Pierre
CD,Davao City
GI,Busan
ID,Chicago
LI,Winnipeg
CM,Peshawar
AI,Wichita
GU,Malacca Town
WS,Douglas
CK,Vancouver
LT,Francistown
FM,Bangui
HU,Shanghai
UZ,Maceió
GY,Rotterdam
KH,Accra
AU,Chongqing
HM,Chittagong
SV,Anchorage
FR,Ipoh
LU,Chaguanas
YE,Changchun
SD,Vatican City
SY,Pretoria
AW,Ho Chi Minh City
TN,Omdurman
CA,Douglas
NZ,St. Louis
ER,Weno
NI,Charlottetown
GG,Yaren District
KZ,Cayenne
KW,Belgrade
LY,Shillong
HK,Linz
CF,Dallas
AL,Odessa
PT,Minneapolis
BO,Dalian
TV,Moroni
SH,Omsk
CL,Kinshasa
NI,Port Said
TN,Mecca
MH,Melekeok
ID,Riga
ST,Vitória
ST,Zagreb
TG,Nakhon Ratchasima
LI,Kandy
US,Geelong
LB,Nassau
EC,Sarajevo
CN,Xining
NP,Roseau
LK,Valparaíso
MP,Austin
LS,Wichita
SC,Cardiff
RU,Guangzhou
VI,Munich
PL,Wichita
LI,Panama City
RE,Ürümqi
NG,Pelotas
FM,Busan
UM,Houston
TT,Tabriz
VE,Padang
NE,Vancouver
CY,Okinawa
AD,Maceió
IN,Anadyr (town)
VE,Karachi
IM,Handan
MN,Indianapolis
FM,Shigatse
IL,Gaziantep
ZA,Newcastle
BS,Columbus
VC,Lyon
AQ,Zamboanga City
SD,Jersey City
TO,Honolulu
VN,Buenos Aires
AI,Guangzhou
SE,Murmansk
TT,Ürümqi
UM,Manzini
IQ,Fortaleza
BJ,Yangon
TH,Medan
EC,Split (city)
AU,Salt Lake City
AM,Amritsar
ZW,Pago Pago
VE,San José
PN,Luxembourg (city)
NC,Sitka
AS,Nuuk
PY,Wellington
NG,Brikama
LT,Douala
BF,Mandurah
BT,Guadalajara
HU,Castries
MX,Douala
VU,Avarua
UM,Tampa
IL,Hanover
BA,Wonsan
LV,Andorra la Vella
KG,Mashhad
CX,Banda Aceh
SO,Adana
BR,Hobart
GU,Shenzhen
KW,Wellington
RE,Mogadishu
LY,Bissau
AT,Phnom Penh
TV,Adamstown
NE,Omdurman
CF,Taiyuan
GS,Beirut
DK,Luanda
JE,Vilnius
VC,St. John's
BB,Cali
AQ,Bandar Seri Begawan
CA,San Fernando
GR,Vilnius
NF,Kaesong
LS,Nice
CS,Cali
EG,Amman
PE,Sri Jayawardenapura-Kotte
US,Colombo
CG,Yangon
LS,Anchorage
BE,Leeds
MA,Moroni
RE,Yerevan
TK,Batticaloa
TG,Leeds
IL,Magadan
TJ,Antananarivo
CO,Nukus
DO,Strasbourg
LS,Bangui
FJ,Busan
LU,Basse-Terre
TZ,Tskhinvali
NL,Lubumbashi
GI,Rabi Island
SA,Paramaribo
HT,Macapá
GM,Lima
CD,Pristina
GL,Moroni
BA,Valparaíso
LY,San Francisco
MN,Porto Alegre
MP,Suez
NR,Dushanbe
SK,Gaziantep
GL,South Tarawa
SM,Saint-Pierre
ES,Auckland
LV,Phoenix
MP,Hat Yai
LU,Vilnius
LU,Tokyo
BH,Santiago de Cuba
EC,Bergen
DM,Amman
GD,Faisalabad
VG,Rawalpindi
GA,Tucson
DK,Kanpur
KH,Cannes
MZ,Iqaluit
MA,Port Hedland
PW,Kraków
FM,Mersin
SC,Sabha
MK,Yekaterinburg
DZ,Rosario
KE,Conakry
MY,Lilongwe
TJ,San Diego
VC,Bandung
ER,South Tarawa
GI,Batticaloa
AU,Colombo
IQ,Francistown
YE,Riyadh
SH,Porto-Novo
PN,Gold Coast
PN,St. Louis
FJ,Santa Cruz de Tenerife
CL,Nuuk
DZ,Bandar Seri Begawan
PE,Osaka
AZ,Chuí
GL,Kaohsiung
SL,Rome
VG,Seville
HU,Bangui
KY,Albuquerque
HT,Port Elizabeth
AI,Quetzaltenango
TT,Tallinn
RU,Tirana
AG,Zanzibar City
GR,Athens
SI,Jaipur
BT,Linz
MA,Roseau
BR,Dededo
MH,Saint-Pierre
LY,Puerto Williams
UM,Porto Velho
JP,Marrakech
PR,Miami
TZ,Bratsk
VG,Alor Star
GT,Simferopol
CF,Minsk
CL,Forked River
HM,San Antonio
BN,Pittsburgh
TD,Darwin
BH,Lahore
PK,Bogotá
ST,Los Angeles
MD,Cotonou
GY,Luanda
KR,Luxembourg (city)
MG,Cartagena
IN,Cork (city)
GI,Lilongwe
PR,Pago Pago
TO,Kansas City
NA,Pelotas
CN,Bujumbura
BF,Luxembourg (city)
CG,Belize City
SV,Kingstown
IM,Málaga
GF,Hiroshima
LB,Jerusalem
CR,Omsk
TV,Raleigh
KH,Ciudad del Este
SH,Freetown
GW,Thimphu
BN,Calama
SY,Djibouti (city)
SB,Bogotá
CX,Dubai
PS,Vitória
AW,Macau
ZA,Valencia
ST,Niamey
ES,Mata-Utu
SJ,Riga
MH,Christchurch
KW,Townsville
DO,Greenwich
MG,Yaoundé
JO,Thiès
GT,Newcastle
EH,Guatemala City
IT,Tamale
VG,Qingdao
VU,Udon Thani
TK,Tokyo
TF,Monterrey
KM,Jeddah
KN,Tagbilaran
SV,Chuí
PS,Anchorage
AS,Lagos
KH,Raleigh
BT,Lobamba
GY,Damascus
CV,Kuala Lumpur
EE,Tucson
NP,Belfast
GR,Ürümqi
ZW,Angra do Heroísmo
CX,Simferopol
GI,Omdurman
GP,Da Nang
AG,Reykjavík
HT,Gangtok
BT,Port Blair
TM,Cayenne
SK,Saskatoon
ZW,Shillong
KM,Dubai
SH,Dushanbe
MH,Kandahar
HU,Nukulaelae
BN,Yerevan
SM,Rochester
WS,Saint John
TW,Split (city)
QA,Zagreb
BG,Phnom Penh
VI,Dakar
IE,Reykjavík
TG,Lyon
AR,San Fernando
AL,Nukuʻalofa
GI,Tianjin
KW,Nashville
CS,Edinburgh
PR,Helsinki
HN,Bratsk
JE,Washington
BF,Da Nang
MK,İzmir
DZ,Riga
TZ,Maracaibo
BG,Mogadishu
ST,Chiang Mai
AZ,Douglas
IO,Riverside
SA,Tbilisi
NG,Casablanca
TJ,Port Elizabeth
VN,Xi'an
FI,Johannesburg
BI,Blantyre
PA,Cleveland
TJ,Vitória
EH,Tijuana
EE,Shenzhen
VE,Kota Bharu
LT,Chongqing
MH,Tripoli
MH,Strasbourg
LY,Lusaka
LV,Rosario
ER,Saint-Pierre
OM,Chittagong
NL,Málaga
DK,New Orleans
UY,Prague
MX,Hilo
VG,Ibiza
ZM,Portland
DZ,Kathmandu
TM,Moroni
AR,Tabriz
MY,George Town
AL,Denver
AN,Yellowknife
KN,Yokohama
LB,Koror
ML,Adak
UZ,San Juan
TO,Punta Arenas
LU,Longyearbyen
GD,Ciudad del Este
KZ,Tunis
CU,Amsterdam
UY,Dibrugarh
GA,Hilo
EE,Hong Kong
IO,Da Nang
BI,Minneapolis
VE,Kaliningrad
AD,Kaesong
SL,San Carlos de Bariloche
BB,Milan
RU,Angra do Heroísmo
JE,Maputo
SL,Mashhad
IR,Kyoto
VU,Funafuti
VA,Prague
KR,Stanley
GM,Islamabad
CR,Buffalo
PK,Sucre
MP,Miri
BH,Kuwait City
IR,Malacca Town
BG,Malacca Town
KN,Canberra
YE,Seville
NZ,Bloemfontein
ID,Barcelona
LR,São José dos Campos
ZM,Rotterdam
ST,Philadelphia
HU,Abidjan
PY,Glasgow
TG,Cincinnati
TD,Pune
TR,Djibouti (city)
EE,Santiago de Cuba
HK,Zanzibar City
MR,Ahmedabad
AD,Bujumbura
FM,Valparaíso
MY,Iloilo City
SZ,Chengdu
MC,Frankfurt
ZM,Hai Phong
CS,Bissau
AL,Birkirkara
FI,El Aaiún
VN,Serekunda
FR,Gaziantep
AU,Stockholm
LK,Port Moresby
NR,Nairobi
TO,Beirut
AT,Nuuk
NR,Bahía Blanca
BR,Bulawayo
IE,Warsaw
DE,Andorra la Vella
UM,Brazzaville
SE,Hargeisa
JM,Hamburg
AU,Chongqing
KH,Kathmandu
UA,Simferopol
GR,Lhasa
SR,Labasa
KN,Manaus
CM,City of Halifax
CH,Ho Chi Minh City
IM,Mashhad
TC,Mérida
DJ,Luxor
AW,Bahía Blanca
QA,Ottawa
HM,Nassau
BR,Funafuti
RW,Anchorage
PS,Bangalore
GH,Omsk
SK,Multan
FJ,Stuttgart
GA,Thessaloniki
MG,Cork (city)
SZ,Adana
TR,Kigali
PE,Hanoi
JM,Hamburg
RU,Montevideo
CX,Anadyr (town)
GR,Providence
NO,Jamestown
NP,Livingstone
FR,Amsterdam
SL,Cleveland
AZ,Mashhad
NR,Manchester
AD,Ahmedabad
VE,Oklahoma City
YT,Jakarta
LT,Luanda
ST,Sapporo
QA,Andorra la Vella
NL,Chicago
KP,The Hague
AS,Koulikoro
IM,Belize City
KI,Enugu
SH,Mbabane
MU,Lomé
BV,Iloilo City
KY,Nashville
MV,Espoo
TM,Jerusalem
LY,Enugu
NO,Mata-Utu
KH,Daegu
PM,Colombo
MO,Bogor
RE,Jacksonville
ZW,Cockburn Town
BT,Sri Jayawardenapura-Kotte
SM,Bamako
ST,Caracas
KH,Port Blair
EH,Geelong
IE,Bloemfontein
NI,Castries
IE,Los Angeles
LA,Yekaterinburg
RU,Nantes
BO,Wollongong
AO,Mamoudzou
GB,Ashgabat
KP,Rabi Island
CM,St. Louis
EE,Yerevan
IS,Fairbanks
TF,Calgary
TT,Prague
MY,Nantes
GP,Kinshasa
SN,Doha
UZ,Tel Aviv
TN,Brikama
BH,Luxembourg (city)
MO,Stuttgart
NZ,Palma
LR,Sukhumi
MN,Nukuʻalofa
MP,Luanda
BG,Bangalore
IQ,Dresden
TC,Petropavlovsk-Kamchatsky
AO,Portland
TG,Funafuti
EG,Brussels
CG,Luanda
BV,Bucharest
KI,Ushuaia
PN,Praia
SG,Porto Velho
PF,Kanpur
MW,Djibouti (city)
BA,Livingstone
GS,Washington
MM,Medina
DJ,Johannesburg
PS,Arbil
GP,Gaborone
BJ,Santa Cruz de la Sierra
PY,La Serena
HM,Hargeisa
MN,Monaco
HT,Minneapolis
JO,Cebu City
EE,Dublin
FJ,Ambon
BA,Helsinki
CH,Siem Reap
HU,Manila
AD,Phoenix
ET,Tucson
IM,Dar es Salaam
MU,Puebla
GP,Belém
MA,Valparaíso
PG,Luxembourg (city)
EH,Gaziantep
SM,Melekeok
PN,Cotonou
TF,Tskhinvali
IT,Shijiazhuang
MR,Bandung
LS,Caracas
SC,New York City
UZ,Tartu
SM,Semarang
RW,San Juan
UM,Melekeok
FK,Salt Lake City
MW,Santo Domingo
DZ,Kuwait City
PM,Recife
SY,Pretoria
BW,Addis Ababa
BN,Campo Grande
GB,Kuching
ZW,Tashkent
IS,Rotterdam
KR,Edinburgh
TK,New Orleans
VG,Chaguanas
TW,Palma
DZ,Horta (Azores)
PK,Ürümqi
LB,Ljubljana
ZW,Cologne
GS,Whitehorse
TD,Chuí
ZA,Rio de Janeiro
MH,Murmansk
MS,Lisbon
VC,Srinagar
MD,Pontianak
DZ,Amritsar
EG,Huế
KE,San Salvador
VC,Chiang Mai
PE,Praia
TN,Cebu City
FM,Hanga Roa
ZA,Roseau
WS,Kyoto
BV,Bishkek
CG,Chişinău
SV,Ahmedabad
AR,Luxor
MV,São Tomé
KP,Tórshavn
BT,Surabaya
SI,Espoo
ML,Kinshasa
CK,Yaren District
TN,Calgary
CO,Vaduz
AF,Lobamba
SL,Port Hedland
CS,Cork (city)
VU,Weno
FM,Chongqing
RU,Yokohama
MD,Petropavlovsk-Kamchatsky
PR,Porto-Novo
KG,Mumbai
AX,Lviv
BA,Vatican City
TJ,Kansas City
PL,Hai Phong
TJ,Detroit
DM,Kaliningrad
SC,San Carlos de Bariloche
BA,Rawalpindi
ID,Tucson
DE,Graz
RU,Birkirkara
PW,Austin
GI,Casablanca
EC,Mamoudzou
TR,Chuí
NC,Ürümqi
GP,Hamilton
PT,Mandurah
AX,Luanda
IN,Yangon
CA,Abidjan
SR,Cairns
AU,Bulawayo
LU,Alor Star
GB,Prague
MV,Hobart
AQ,Gold Coast
AZ,Mwanza
PE,Nukus
BZ,Christchurch
BF,Dubai
MU,Nashville
HT,Anadyr (town)
TW,Canberra
KE,Puebla
LK,Amman
AZ,Banda Aceh
BY,Nagoya
UA,Kuwait City
HN,Surat
SO,Panama City
BF,Faisalabad
AX,Doha
DZ,Hanoi
SL,Jamestown
MX,Medellín
BH,Damascus
FM,Gaza
TK,Kuala Lumpur
MZ,Malé
NE,Brasília
TG,Agartala
QA,Pattaya
GN,Nizhny Novgorod
AI,Durban
FM,Xining
TF,Mandurah
LC,Longyearbyen
LA,Yerevan
TV,Cannes
BJ,Semarang
PT,Charlotte Amalie
GD,Peshawar
AI,Ibadan
US,Labasa
IS,Adak
PF,Iloilo City
CA,Minsk
NG,Mogadishu
PR,Okinawa
OM,Valparaíso
OM,Chicago
GR,Brisbane
AQ,Beirut
LI,Turin
YE,Sucre
FR,Thessaloniki
IL,Colombo
PE,Medan
FJ,Okinawa
TZ,Pontianak
HU,Davao City
GD,Lisbon
KN,Glasgow
NI,Moscow
ML,Toronto
CH,Petropavlovsk-Kamchatsky
MN,The Hague
PN,Multan
CZ,Udon Thani
BI,Miami
TZ,Tbilisi
BZ,Stanley
FK,Novosibirsk
UA,Rabi Island
JE,La Serena
HN,Lagos
SH,Dili
SD,Nukulaelae
MW,Regina
RE,Qingdao
BZ,Banda Aceh
EG,Bangalore
IO,Cuiabá
SE,Willemstad
BD,Bogor
GU,Hobart
HR,Istanbul
LT,Reykjavík
LA,Chongqing
JO,Leeds
TL,Tbilisi
LS,Luxembourg (city)
TG,Maceió
KE,Maracaibo
EC,Lviv
MC,Jamestown
SA,Yaoundé
AM,Bamako
ID,Campinas
AN,Dubai
AD,Lisbon
FR,Cologne
ZW,Skopje
IO,Invercargill
EC,Wellington
US,Busan
UY,Nanjing
FR,Gaziantep
GL,Damascus
BM,Madrid
CD,Frankfurt
AZ,Hanover
MO,Perm
BS,Bishkek
MY,Thimphu
TO,Kota Bharu
CH,Montevideo
DK,City of Halifax
BW,Karachi
LC,Charlotte
MR,Liverpool
KZ,Chihuahua
UA,Santa Cruz de Tenerife
FK,Manzini
PH,Rochester
IL,Bissau
PW,Macapá
SK,Palikir
CS,Lima
BI,Ludhiana
MY,Luxor
MH,Fredericton
GW,Veracruz
LU,Timbuktu
LC,Gothenburg
SR,Anchorage
CH,Tagbilaran
UY,Zhengzhou
GM,Bujumbura
YE,Turin
CD,Dunedin
EE,Moroni
GH,Lisbon
UZ,Yamoussoukro
SD,Sri Jayawardenapura-Kotte
NF,Tórshavn
LV,Nuuk
CU,Istanbul
KM,Bangkok
LA,Marrakech
CR,Malé
ST,Saipan
AD,Chittagong
IQ,Nantes
JE,Salt Lake City
TM,Nanjing
KR,Kobe
CI,Malacca Town
CI,Wonsan
NC,Malang
BI,Bangalore
HU,Fukuoka
HT,Fort-de-France
ML,Chiang Mai
HT,Managua
RE,Banjul
VU,City of Halifax
KH,Indianapolis
QA,Angra do Heroísmo
NA,Santo Domingo
BD,El Paso
BT,Bucharest
LY,Yamoussoukro
ST,Espoo
RE,Kuwait City
CD,Canberra
CK,Providence
LS,Hamburg
GI,Miami
SN,Tampa
TO,Samara
MD,Bratislava
MG,Pattaya
ER,Providence
GU,Adak
NE,Memphis
FO,Handan
CX,Minsk
IQ,Arbil
AZ,Melekeok
UA,Arbil
KM,Baghdad
BY,Stepanakert
SG,Bangkok
UA,Medellín
CR,Yamoussoukro
SA,Cebu City
MN,Malacca Town
KE,Mendoza
CX,Perth
FR,Srinagar
LB,Cannes
HK,Bissau
MN,Yerevan
GS,Philadelphia
TH,Oranjestad
UY,Taichung
SB,Warsaw
CR,Bogotá
GE,Toulouse
GY,Buenos Aires
DJ,New Delhi
NR,Barranquilla
PL,Sri Jayawardenapura-Kotte
AN,St. George's
SY,Anadyr (town)
SA,İzmir
BB,City of San Marino
SD,Francistown
AE,Surat Thani
BG,Cape Town
CZ,Dublin
FI,Horta (Azores)
GM,Campinas
GL,Serekunda
BO,Mexicali
SI,Amritsar
KY,Dubai
YE,Lima
LC,Kuwait City
LI,Baltimore
MQ,Nanning
TG,City of San Marino
BD,Atlanta
BA,Recife
CL,Gdańsk
GG,Guadalajara
SI,Veracruz
PK,Dunedin
NZ,Mwanza
AQ,Dalian
CI,Belgrade
VU,Tripoli
SL,Hamilton
PY,Douala
LT,Colombo
PK,Stuttgart
PE,Tirana
CM,Kinshasa
NC,Lhasa
JE,Taipei
IQ,Abuja
NC,Cotonou
SL,Abidjan
CF,Mandurah
JP,Ambon
MA,San José
LR,Mwanza
LS,Murmansk
MZ,Denpasar
SC,Thimphu
AX,Malacca Town
ML,Veracruz
MG,Jersey City
UG,Valletta
DM,Andorra la Vella
AR,Santiago
KM,Kaesong
MX,Skopje
KE,Pelotas
DM,Quetzaltenango
LI,Indianapolis
NU,Xining
CA,Salzburg
RO,Simferopol
UY,Ottawa
NC,Jamestown
MG,Dunedin
AZ,Turin
OM,Medellín
AL,Kabul
MU,Leipzig
NF,Cork (city)
MS,Pristina
KR,Hat Yai
TL,Pittsburgh
AN,Kathmandu
MW,Adak
CC,Anadyr (town)
GT,Qingdao
BE,Toulouse
DJ,Muscat
DZ,Omsk
SZ,Bogor
IR,Yamoussoukro
VC,Yellowknife
AQ,Tirana
BJ,Guadalajara
UM,Innsbruck
TN,Cebu City
AN,Port Louis
IL,Charlottetown
GR,Tijuana
HK,Columbus
NL,Ljubljana
GB,Hat Yai
CO,Wollongong
MT,Francistown
MT,Serekunda
BG,Baku
BT,Gdańsk
PE,Valletta
TK,Omdurman
SY,Ho Chi Minh City
MA,Ilhéus
MC,Buenos Aires
SG,Pretoria
BV,Palikir
SG,Makassar
VG,Udon Thani
LB,Iloilo City
LY,Jinan
VG,Forked River
VC,Rabat
MW,Dallas
ID,Sofia
SO,Christchurch
YE,Nanjing
IN,Monaco
DO,Manzini
BN,Pyongyang
AO,Lviv
TV,Puebla
ML,Sydney
SA,Pago Pago
TR,Portland
BO,Cologne
MZ,Lisbon
FO,Nagoya
GW,Majuro
RU,Cleveland
VI,Vladivostok
WS,Jersey City
PS,Malabo
TG,Angra do Heroísmo
LS,Invercargill
HN,Livingstone
CZ,Ibiza
KE,Bratsk
CG,Bogor
MS,Hong Kong
ZA,Palma
DM,Veracruz
LB,Barcelona
AT,Baghdad
PG,Hanover
BS,Hamburg
CY,Taiyuan
CF,Brasília
HN,Da Nang
UM,Helsinki
CC,Yerevan
MY,Medan
TJ,Regina
BD,Perth
TZ,London
MK,The Valley
CO,Malmö
IS,Daegu
CS,Karachi
BY,Glasgow
ER,Recife
NG,Malabo
MA,Basse-Terre
OM,Udon Thani
AI,Saskatoon
CS,Durango
PE,Birmingham
CF,Seoul
FK,Malé
SD,Tampere
HN,Paramaribo
PG,Campo Grande
VU,Hamburg
EG,Chittagong
CF,Winnipeg
BI,Havana
AU,Kobe
IL,Rabi Island
LA,Oslo
RO,Anchorage
BZ,Kabul
BR,Papeete
CF,Hilo
TH,Port of Spain
CF,Sarajevo
FR,Kota Bharu
DK,Canberra
AZ,Moroni
BT,Dalian
FK,Berlin
VC,Nukus
CS,Zamboanga City
CL,Pretoria
GP,Manaus
SB,Cairns
SD,Samara
NG,Mogadishu
GB,Hong Kong
NF,Bujumbura
UM,Kuching
BT,Port Blair
PA,Baku
TF,Kabul
NR,Mbabane
GU,Birkirkara
AN,Semarang
DO,Manchester
BY,Darwin
KN,Barranquilla
KZ,Dalian
ES,Thimphu
LS,Djibouti (city)
ID,Addis Ababa
SB,Kota Kinabalu
AW,Port Moresby
CU,Indianapolis
GW,Quetzaltenango
LS,Maracaibo
AN,Omsk
LV,Denpasar
TK,El Aaiún
PW,Belfast
CV,The Valley
AX,Quebec City
VN,Ankara
PF,Iqaluit
CY,Strasbourg
CC,Ponta Delgada
BA,Minneapolis
NP,Santa Cruz de la Sierra
ID,Hilo
MM,Jamestown
LA,Dili
BB,Fairbanks
RU,Bridgetown
VI,Shijiazhuang
IN,Accra
SI,London
TJ,Birkirkara
MX,Adak
GW,Fukuoka
EE,Cotonou
NR,Jamestown
AX,Ulan Bator
SE,Belmopan
JM,Nice
BB,Leipzig
UA,Córdoba
HM,Peshawar
IQ,Ulan Bator
OM,Astana
HK,Vitória
LY,Makassar
GS,Lviv
PW,Guwahati
MU,Palikir
NZ,Quito
TF,Lobamba
BZ,Ahmedabad
CI,Saint John
TL,Ibadan
NO,Saskatoon
PW,Pune
CA,Cairo
TV,Tórshavn
GW,Bratislava
MK,Hagåtña
KI,Dresden
SN,Santa Cruz de Tenerife
GW,Apia
TD,Providence
LV,Veracruz
GU,Milwaukee
PW,Adelaide
AW,Birmingham
FM,London
BV,Athens
PT,Stuttgart
BR,Mumbai
AX,Jakarta
CD,Angra do Heroísmo
GQ,Dar es Salaam
NC,Lomé
MU,Oranjestad
GN,Baku
FK,Hargeisa
MV,Accra
AU,Bulawayo
KP,Dili
MQ,Providence
CM,Bogotá
BZ,Brisbane
ZW,Buffalo
SD,Petropavlovsk-Kamchatsky
WS,Ciudad del Este
ES,Montreal
AU,Port-au-Prince
LA,Sabha
BD,Greenwich
DJ,Albuquerque
ER,Simferopol
PK,Minsk
SY,Addis Ababa
UY,Turin
KH,Monrovia
MA,Nuuk
GD,Nuuk
GA,Nassau
ER,Honiara
BA,Jerusalem
ID,Saint-Denis
JP,Melbourne
KZ,Siem Reap
SE,Faisalabad
VU,Cairo
HR,San Carlos de Bariloche
MZ,Quezon City
SL,Bratislava
BW,Frankfurt
NL,Murmansk
BO,Shenyang
ML,Taipei
ER,Buffalo
LU,Saint-Denis
NZ,N'Djamena
TD,Seville
CO,Mata-Utu
IQ,Saint John
GW,Dhaka
TG,Kunming
NC,Caracas
BA,Balikpapan
HU,Yamoussoukro
LI,Rotterdam
VA,Sapporo
IN,Kolkata
KZ,Bahía Blanca
ES,Davao City
BI,Palikir
YE,Tabriz
HR,Juneau
CR,Ouagadougou
BH,Tamale
TT,Dublin
GT,Abu Dhabi
AQ,Rosario
SN,Seattle
GQ,Port Blair
BV,Yaren District
PF,Edmonton
TG,Porto-Novo
MP,Veracruz
HN,Gaziantep
JO,Khartoum
NF,Serekunda
GM,Denpasar
CI,Córdoba
VI,Geneva
MN,The Valley
OM,Algiers
LT,Pago Pago
SN,Da Nang
WS,Barranquilla
HM,Honiara
IN,Cincinnati
EH,Mwanza
SO,Xining
MM,Basra
TJ,Oslo
TG,Basra
BB,Zhengzhou
NA,Malang
SB,Perth
HR,Tartu
AT,Oranjestad
AN,Vatican City
BW,Cotonou
SR,Busan
SN,Sucre
